IDs         length   Exptl.  resolution  R-factor FreeRvalue
4S3N        373      XRAY        2.000    0.18    0.21
5ED1        806      XRAY        2.770    0.17    0.22
2Q66        525      XRAY        1.800    0.19    0.23
3AMT        440      XRAY        2.900    0.24    0.29
1C0A        585      XRAY        2.400    0.21    0.25
5KLA        337      XRAY        1.140    0.16    0.17
3OIN        506      XRAY        1.900    0.19    0.23
1WPU        294      XRAY        1.480    0.21    0.24
3VJR        394      XRAY        2.400    0.20    0.24
5KAL        706      XRAY        2.750    0.22    0.26
5M0I       1056      XRAY        2.410    0.19    0.23
3QSU       1078      XRAY        2.200    0.20    0.26
5ID6       1228      XRAY        2.380    0.20    0.26
4Z0C       1418      XRAY        2.300    0.19    0.24
4QVI        229      XRAY        1.900    0.20    0.22
4NGD        302      XRAY        1.960    0.18    0.20
4NKU        682      XRAY        1.940    0.18    0.23
2F8S       1412      XRAY        3.000    0.25    0.31
3PEY        395      XRAY        1.400    0.16    0.18
2Y8Y        215      XRAY        1.440    0.18    0.20
4G0A       1268      XRAY        2.100    0.17    0.20
5DTO        892      XRAY        2.600    0.19    0.24
1XOK         52      XRAY        3.000    0.25    0.27
4ILL        578      XRAY        2.480    0.22    0.24
3D2S        280      XRAY        1.700    0.23    0.26
3WBM        388      XRAY        2.000    0.21    0.25
1UVJ       1992      XRAY        1.900    0.24    0.27
5D0A       1748      XRAY        2.100    0.19    0.23
3ADD        518      XRAY        2.400    0.22    0.26
5Y58       3609      XRAY        2.800    0.22    0.26
4N2Q        257      XRAY        2.800    0.21    0.26
2ZKO        146      XRAY        1.700    0.19    0.23
3FTF        249      XRAY        2.800    0.24    0.29
4QOZ        726      XRAY        2.300    0.20    0.24
4OQ9       2385      XRAY        1.450    0.22    0.25
5Z98        370      XRAY        2.200    0.26    0.32
2GJW       1252      XRAY        2.850    0.25    0.30
4WC2        396      XRAY        2.800    0.22    0.27
3LRR        242      XRAY        2.150    0.19    0.23
3O7V        124      XRAY        2.100    0.24    0.28
5XJ2       1816      XRAY        2.840    0.20    0.24
1HQ1        105      XRAY        1.520    0.16    0.20
1OOA        652      XRAY        2.450    0.21    0.25
4ARC        880      XRAY        2.000    0.21    0.26
4YVJ        532      XRAY        2.900    0.20    0.28
2AZ0        146      XRAY        2.600    0.24    0.27
4J39        127      XRAY        1.700    0.18    0.21
4WTL        580      XRAY        2.000    0.20    0.23
4C7O       1152      XRAY        2.600    0.17    0.23
3IEM       1724      XRAY        2.500    0.21    0.26
1ASY        980      XRAY        2.900    0.23    1.00
5AOX        358      XRAY        2.040    0.19    0.22
4LGT        510      XRAY        1.300    0.17    0.20
4ZLD        155      XRAY        1.600    0.16    0.18
6FPQ        190      XRAY        1.420    0.14    0.17
3GPQ        672      XRAY        2.000    0.22    0.26
4M4O        129      XRAY        2.000    0.18    0.21
1FFY        917      XRAY        2.200    0.24    0.28
4H5P        980      XRAY        2.150    0.18    0.22
1DDL        564      XRAY        2.700    0.21    0.16
4II9        348      XRAY        1.660    0.18    0.21
4JZU        316      XRAY        1.700    0.18    0.21
3AEV        494      XRAY        2.800    0.21    0.25
4ZDO       2004      XRAY        2.650    0.20    0.23
1DFU         94      XRAY        1.800    0.21    0.23
3ZC0       2388      XRAY        2.980    0.21    0.26
5MFX        451      XRAY        1.600    0.16    0.19
5WT1        666      XRAY        2.600    0.25    0.27
6FQ3        409      XRAY        1.900    0.16    0.18
2XGJ       2020      XRAY        2.900    0.20    0.25
4O26        514      XRAY        3.000    0.22    0.26
2R7R       1095      XRAY        2.600    0.24    0.29
4ERD        258      XRAY        2.590    0.22    0.27
3U2E        522      XRAY        2.320    0.19    0.24
2ASB        251      XRAY        1.500    0.19    0.22
5UDI        479      XRAY        1.580    0.16    0.18
4QEI        630      XRAY        2.880    0.22    0.27
4YYE        920      XRAY        2.300    0.16    0.20
